€400,000 	 Carrowbeg, Westport, Mayo
€145,000 	 Aghaloonteen, Lahardane, Ballina, Mayo
€425,000 	 Ballinamore,Kiltimagh,Co Mayo,F12ND29
€260,000 	 37 St Marys Crescent, Westport, Mayo
€599,000 	 Formally Rosmoney Spa, Rosmoney, Westport, Co. Mayo
€350,000 	 Ardagh, Ballina, Mayo
€120,000 	 23 Carrowmore Meadows, Carrowmore, Knock, Mayo
€565,000 	 Derry Quay, Cross, Co Mayo, Cross, Mayo
AMV €950,000 	 Ballycurrin Demesne, Ower, Claremorris, Mayo
€45,000 	 Ballinahalla, The Neale, Mayo
€40,000 	 Glanduff,Attymachugh,Foxford,Co Mayo,F26 DE61
€108,000 	 7 Carrowkibbock Lower, Ballycastle, Mayo
€310,000 	 3 The Woodlands,Mount Falcon,Ballina,Co Mayo,F26 V6R9
€79,000 	 Chapel St,Swinford,Co Mayo,F12 PY62
€55,000 	 Clossagh,Foxford,Co Mayo
€130,000 	 Apartment B9, Block B, Cormullen, Foxford, Co. Mayo, Foxford, Mayo
€175,000 	 110 Childers Heights, Ballina, Mayo
€100,000 	 Drumbaun, Ballyhaunis, Mayo
€130,000 	 Dowagh West, Cross, Claremorris, Co. Mayo
POA 	 Barnahowna, Tourmakeady, Mayo
€160,000 	 Apartment 21 The Beech, Spencer Manor, Castlebar, Mayo
